category,title,price,unit,sort_order,is_active
Легковий монтаж,Седан/Хетчбек R13,175,,1,true
Легковий монтаж,Седан/Хетчбек R14,190,,2,true
Легковий монтаж,Седан/Хетчбек R15,210,,3,true
Легковий монтаж,Седан/Хетчбек R16,220,,4,true
Легковий монтаж,Седан/Хетчбек R17,250,,5,true
Легковий монтаж,Седан/Хетчбек R18,290,,6,true
Легковий монтаж,Седан/Хетчбек R19,310,,7,true
Легковий монтаж,Седан/Хетчбек R20,335,,8,true
Легковий монтаж,Седан/Хетчбек R21,355,,9,true
Легковий монтаж,Седан/Хетчбек R22,375,,10,true
Легковий монтаж,Седан/Хетчбек R23,405,,11,true
Легковий монтаж,Седан/Хетчбек R24,435,,12,true
Легковий монтаж,Седан S45/RunFlat доплата,50,,13,true
Легковий монтаж,Мінівен/Джип/SUV R14,205,,14,true
Легковий монтаж,Мінівен/Джип/SUV R15,220,,15,true
Легковий монтаж,Мінівен/Джип/SUV R16,250,,16,true
Легковий монтаж,Мінівен/Джип/SUV R17,290,,17,true
Легковий монтаж,Мінівен/Джип/SUV R18,315,,18,true
Легковий монтаж,Мінівен/Джип/SUV R19,340,,19,true
Легковий монтаж,Мінівен/Джип/SUV R20,355,,20,true
Легковий монтаж,Мінівен/Джип/SUV R21,375,,21,true
Легковий монтаж,Мінівен/Джип/SUV R22,400,,22,true
Легковий монтаж,Мінівен/Джип/SUV R23,435,,23,true
Легковий монтаж,Мінівен/Джип/SUV R24,455,,24,true
Легковий монтаж,Мінівен/SUV S45/RunFlat доплата,60,,25,true
Легковий монтаж,Бус/Комерційний R13,205,,26,true
Легковий монтаж,Бус/Комерційний R14,220,,27,true
Легковий монтаж,Бус/Комерційний R15,250,,28,true
Легковий монтаж,Бус/Комерційний R16,290,,29,true
Легковий монтаж,Бус/Комерційний R16 Газель,340,,30,true
Легковий монтаж,Бус/Комерційний R17,315,,31,true
Легковий монтаж,Бус/Комерційний R18,340,,32,true
Легковий монтаж,Спаровані колеса доплата/шт,25,,33,true
Вантажний монтаж,Шиномонтаж R17.5 (безкамерні),400,,34,true
Вантажний монтаж,Шиномонтаж R22.5 (безкамерні),450,,35,true
